,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Company,min_sal,max_sal,Salary(Avg),State,City,Position at HQ,Company Age,JavaScript,Python,C_plus,SQL,AWS
0,Software Engineer,$107K-$157K (Glassdoor est.),"MedBill is looking for a Software Engineer to assist in supporting our existing software solutions and the development of our new SaaS platform. This position provides great possibility for advancement and growth through team leadership opportunities and being present at launch of an industry changing software solution.
The Right Fit:
Culture is important to us. We are looking for someone who shares our culture of each team member having the ability to impact the business in a positive way.
The right person can take ownership of their assigned projects and work independently to deliver a quality solution; while also collaborating with and contributing to the goals of the entire team. The right candidate should be a good communicator, a quick and passionate learner, and enthusiastic about adding value in a team environment.
You will have the opportunity to:
Become familiar with MedBill’s software offerings and the world of Durable Medical Equipment.
Work with internal and external stakeholders to deliver software solutions for real-world problems using the latest technologies.
Support solutions throughout the full life-cycle of design, development, testing, and support.
Participate on a fast-moving agile development team.
Help steer the trajectory of MedBill’s software solutions.
Our Ideal Candidate will have:
A 4-year degree in a Computer Science or related Major.
Ability to communicate technical topics to people without a technical background.
Ability to digest imprecise problem descriptions and produce technical solutions.
Proficiency in C# and JavaScript, or similar object-oriented languages.
Proficiency with HTML, CSS, SCSS, and modern web standards.
Familiarity with relational databases and SQL, particularly Microsoft SQL Server.
Familiarity with client-side frameworks (React, Vue, or Angular), particularly React.
Experience developing and/or consuming RESTful APIs.
Experience with Bamboo, Git, JIRA or other CI tools and processes.
A constant desire to grow, learn and explore new things.
Benefits:
Competitive Salary.
Competitive 401(k) retirement plan match.
Medical, Dental, and Vision Insurance.
Health Savings and Flexible Spending Accounts
Competitive Vacation and Time Off Benefits.
Work / Life Balance.
We seek out and reward people who are adaptable, accountable, collaborative, curious and of high integrity. We’re looking for people with a passion for success and who are looking to grow with our organization!

All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, political affiliation, or any other characteristic protected by law.",4.4,"MedBill
4.4","Boone, NC","Pittsburgh, PA",51 to 200 employees,2005,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,"MedBill
",107,157,132.0, NC,Boone,0,15,1,0,0,1,0
1,Software Engineer,$107K-$157K (Glassdoor est.),"Job Description:
Infogroup is looking for top talent to join our dynamic and innovative team. We are currently seeking a Software Engineer to join our Marshfield, WI office. This position is responsible for designing, developing, testing, maintaining and/or deploying business application software or specialized utility programs. This position is also responsible for writing and maintaining code, analyzing systems, coordinating project efforts and supporting a diverse range of applications.

Essential Job Functions:
Review business needs to develop software solutions.
Work with programmers and analysts to code and test software features to provide software enhancements.
Analyze, develop, implement and support applications or program components.
Conduct analysis of systems and programs, including performance, diagnosis and troubleshooting of problems.
Conduct code reviews in accordance with department standards.
Create and update documentation throughout the development lifecycle to aid in maintenance and code reuse.
Collaborate with team members to update and maintain logical and physical data models.
Translate client needs into functional programs that produce desired results.
Provide technical guidance on usage of systems.
Support systems and operations as needed.
Qualifications:
Knowledge, Skill, and Abilities:
Possess a strong aptitude towards software development for use in automation and interfacing with databases.
Strong working knowledge of one or more programming languages.
Must be able to work flexible hours on-site and remote.
Must be able to work in a complex, dynamic team environment with minimal supervision and possess good organizational skills.
Strong interpersonal skills are needed to work well with a talented team of developers.
Familiar with relational database concepts and flat file processing concepts.
Ability to understand and work with data in fixed and delimited formats.
Ability to communicate with individuals at all levels in the Company and with various business contacts outside of the company in an articulate, professional manner.
Ability to organize, prioritize and handle multiple assignments on a daily basis.
Education, Experience, and Certification:
Bachelor's degree or equivalent experience in a technology related area (Computer Science, Engineering, etc.) is required.
1 to 3 years of relevant experience is required.
Experience using object oriented programming languages is required.
Experience using multiple programming languages on diverse platforms is preferred.
Advanced degree is a plus.
We're revolutionizing the way companies connect with their customers and grow their businesses. Find out how you can join the movement at www.infogroup.com/about-infogroup/careers-at-infogroup. Please reference requisition number MRSH4834.

Infogroup is a leading provider of data and data-driven marketing solutions. Infogroup provides data, technology and services that help marketers acquire new customers and maximize the value of existing relationships. The company's data and marketing solutions help clients of all sizes, from local SMBs to FORTUNE 100™ enterprises, increase sales and customer loyalty. Infogroup provides both digital and traditional marketing channel expertise that is enhanced by access to our proprietary data on 280 million individuals and 24 million businesses. For more information, visit www.infogroup.com.

At Infogroup, our employees are directly responsible for our success. We strongly believe in rewarding employees for their initiative, teamwork and leadership. Every day, we expect our employees to ask questions, demand better solutions and challenge one another to succeed. We are constantly looking for candidates who are not only qualified and knowledgeable, but also have the drive to grow professionally. We hire dynamic individuals in variety of fields such as information technology, account management and client services, sales, marketing, administration and human resources.

Affirmative Action/EEO Policy

At Infogroup, we are committed to attracting, retaining and engaging employees from all walks of life. Diversity is an important part of our values and business operations. We are dedicated to creating an inclusive environment that promotes professional development for everyone. As part of that commitment, Infogroup does not discriminate on the basis of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, marital status, status with regard to public assistance, status as a disabled veteran and/or Veteran of the Vietnam Era or any other characteristic protected by federal, state or local law. All qualified applicants will receive consideration for employment. In addition, Infogroup will provide reasonable accommodation for otherwise qualified disabled individuals.

#LI-DNP

Posting Location:
Marshfield, WI

Position Type:
Full Time

Additional Posting Locations:",3.6,"Yes Marketing
3.6","Marshfield, WI","Chicago, IL",201 to 500 employees,2000,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,"Yes Marketing
",107,157,132.0, WI,Marshfield,0,20,0,0,0,0,0
2,Full Stack Software Engineer,$107K-$157K (Glassdoor est.),"Why OJO?
We’re on a mission to empower people to make better decisions through the fusion of machine and human intelligence. We’re solving some of the biggest problems troubling the modern consumer experience. Through our unique, data-driven AI platform, we’ve introduced a fresh approach to the way people make important decisions. As part of our team, you’d be helping to build technologies that will significantly advance the world’s largest consumer industries, starting with home buyers in the real estate industry.
We hope to have an opportunity to meet you, learn about your experience and introduce you to the OJO team.

About OJO Engineering
At OJO Engineering, we highly value a thirst for learning, the ability to collaborate, and passion for our customers. We are excited to tackle hard technical problems. We take our responsibility seriously as we use technology to help our customers make important, sometimes life changing, buying decisions. If you enjoy working in a fast-paced environment alongside with some of the best engineers in Austin, come join us!

Who is OJO?
We are an Austin-based, technology startup focused on fundamentally improving the way people make their most important decisions through the fusion of machine and human intelligence. With offices in Austin, TX, Minneapolis, MN and Vieux Fort, St. Lucia, we have over 350 employees globally. We are continuously named a Top Place to Work and have recently been awarded Austin Inno’s “50 on Fire” award which recognizes the hottest startups in Austin. Backed by top-tier VCs and industry veterans, we have managed to hire the best technical, product and operational minds to pursue this incredible opportunity. We know we’re onto something big and everyone on our team has a significant impact on our evolving product, team and culture.
Responsibilities:
Be part of a talented engineering team to build a compelling digital experience that engage with home buyers who are in the process of making important purchasing decisions
Write code, write a lot of code, write better code while you are at it
Participate in building a strong culture that values learning and collaboration
Must Haves:
5+ years of hands-on development experience
Strong communication skills
An appetite to learn the craft of software development
Proven interests in OJO and attention for details. Please put “Ada Lovelace” in your resume or your cover letter.
Comfortable with relational databases and SQL
Computer Science or other technical degree (or equivalent job experience)
Nice to Haves:
Experience building maintainable systems supported by automated tests
Experience with React JS, Node.js, Kotlin, Scala, Python, Spring, Postgres (and PostGIS), Elasticsearch, AWS
What do we have to offer?
You get to work with the best of the best
A collaborative, respectful environment where your voice will always be heard
Competitive Salaries
Equity
Unlimited/Open PTO Policy
Hip SoCo Austin Office
Dog-Friendly Workplace
Commuter Stipend or Free Parking
Optimum Workspace Subsidy
70% Coverage of Employee and Dependent Health Premiums
Promote from Within Philosophy
Volunteer Program
Many More – We have a whole team dedicated to making OJO an awesome place to work!
OJO is an equal opportunity employer committed to fostering an inclusive, innovative environment with the best employees. Therefore, we provide employment opportunities without regard to age, race, color, ancestry, national origin, religion, disability, sex, gender identity or expression, sexual orientation, or any other protected status in accordance with applicable law.",4.7,"OJO Labs
4.7","Austin, TX","Austin, TX",201 to 500 employees,2015,Company - Private,Internet,Information Technology,$10 to $25 million (USD),-1,"OJO Labs
",107,157,132.0, TX,Austin,1,5,0,1,0,1,1
3,Full Stack Software Engineer,$107K-$157K (Glassdoor est.),"Corporate Traffic Logistics is a 28-year-old asset-based 3rd Party Logistics (3PL) provider. Acknowledged in the industry with several honors and awards including Inbound Logistics Top 100 3PL’s, multiple Best Place to Work and a federal SmartWay certified carrier. We have a proven history of demonstrated stability, technology advancements and financial strength. Our success is directly attributable to our employees and as such, we take a tremendous amount of pride in them and our collective results.
Corporate Traffic is committed to hiring team members who are passionate about providing exceptional customer service - people who understand the importance of customer satisfaction and what it means to their career development. As a company that is well-positioned for aggressive growth, we are seeking a Full Stack Software Engineer with experience building web and/or mobile applications for the enterprise. As a full stack engineer, you will leverage your strengths to work more independently. This independence will help bring new features and ideas to life more quickly and allow you to own complete parts of the product. It also enables you to move freely between various projects and ideas, as both a back-end and/or front-end contributor.
In principal, Computer Science fundamentals and good engineering practices are more important to us than languages and frameworks.
Responsibilities
Design, develop and test intuitive web and mobile applications
Develop data rich features
Collaborate effectively with your teammates, technical partners, and customers
Communicate technical ideas with a focus on problem solving
Have hustle along with other motivated, mission driven engineers to serve our team and customers
Requirements
3+ years’ experience building and supporting full stack applications within an agile or SCRUM team environment
Bachelor's degree in Computer Science, Engineering or STEM-related field, OR equivalent training, work experience
Ability to write high quality, production code in one or more languages
Experience with various management tools like Jira and Git
Experience using various tools to ensure the quality of your own code (testing frameworks, source control practices, CI/CD)
Passionate about UX and good design
Can put yourself in our customers shoes and be an advocate for them
Strong analytical and problem-solving skills
Ability to work independently and within a team
Recommend
Bachelor’s Degree in Computer Science/Computer Information Systems Preferred
Front-End: JavaScript, Angular 7.x+, React, HTML5, CSS, Ionic
Middle: Microservices, Service Bus/Message Queues
Back-End: C#, .NET, MSSQL, Cosmos DB, MongoDB
Other: Microsoft Azure, XML, JSON, SOAP APIs, RESTful APIs, Web Tokens
Employee Benefits
Paid Time Off
Medical, Dental, Vision and Supplemental Life Insurance
Company-paid Group Life Insurance
Short & Long-Term Disability
Simple IRA with Company Match up to 3% (Vested & Matched at first contribution)
Many other great benefits",4.2,"Corporate Traffic Logistics
4.2","Jacksonville, FL","Jacksonville, FL",51 to 200 employees,1992,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,-1,"Corporate Traffic Logistics
",107,157,132.0, FL,Jacksonville,1,28,1,0,0,1,0
4,Software Engineer,$107K-$157K (Glassdoor est.),"Ungerboeck Software is looking to hire the best Software Engineers for our St. Louis team!

We’re looking for folks who bring these to the table:

Soft Skills
A clear communication style that translates to both verbal and written discussions
Ability to weigh priorities and manage multiple simultaneous projects
Demonstrate passion about programming, your projects, and working for an awesome company
What makes a successful Software Engineer?
BS in Computer Science or equivalent
0-5 years professional application development experience using Microsoft .NET technologies and relational databases (SQL Server preferred)
Ability to use common patterns to solve technical problems with code
Desire to work on both server-side and client-side development
Experience using Visual Studio. Team Foundation Server experience a plus
Web development experience
Bonus:
Knowledge of mobile development tools
A sense of humor about internet memes
Continuous technical improvement through reading tech blogs and other online resources
The strength to operate a nerf dart gun to defend yourself during developer battles
Totally chill when working through bugs (jk, but maybe sometimes)
Lives in the greater STL area or willing to self-relocate
What’s in it for you?
Full benefits – health, dental, and vision
Working in a team of wicked-smart, yet down-to-earth developers who challenge you to be your best everyday
3 weeks PTO, 8 paid holidays, and 2 paid floating holidays per year
Flex Time and Work from Home options
Personal training and on-site gym
A fridge fully stocked with (almost) every caffeinated beverage on earth
Win at life by loving your job",4.0,"Ungerboeck Software International
4.0","O'Fallon, MO","O'Fallon, MO",201 to 500 employees,1985,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,"Ungerboeck Software International
",107,157,132.0, MO,O'Fallon,1,35,0,0,0,1,0
5,Software Engineer,$107K-$157K (Glassdoor est.),"As a key member of the Development team, the Software Engineer leverages extensive solutions-oriented implementation experience and comprehensive understanding of SaaS-based architecture to design and deliver the next generation of our service offerings. Software Engineers are responsible for the engineering of applications with initiatives to build highly scalable and reliable infrastructure.

Duties& Responsibilities Include:
•Designs and implements a new generation of high performance/high availability backend infrastructure primarily based on Microsoft’s .NET stack.
•Investigates and recommends alternative and complimentary database technologies to expand the functionality and performance of our solutions.
•Leads the design, development, and testing of features/functions delivered via platform components and/or services that are highly scalable, available and reliable.
•Maintains database performance by identifying and resolving production and application development problems.
•Quickly understands existing code and contributes in a way consistent with prior coding conventions.
•Works with product managers using agile methodologies to deliver high quality technologies on time.
•Provides expert application design guidance on solution system designs, redesigns for platform, performance and integration of new technical features and capabilities, etc.

Education& Training:
•Bachelor’s degree in Computer Science or Engineering (or equivalent work experience) required
•2+ years of experience in designing and implementing highly scalable cloud-based solution architectures for SaaS solutions preferred

Knowledge& Experience:
•2+ years' experience in designing and developing highly scalable cloud-based solution.
•2+ years’ relevant experience that includes software development/solution engineering/technical consulting.
•Experience with modern web technologies: HTML5, JavaScript, CSS required
•Good understanding of Microsoft Stack required
•Programming languages: C#, JavaScript frameworks, required
•Good understanding of application architecture including REST required
•Good technical expertise with SQL, Data modeling preferred
•Experience with transitioning single-tenant applications to multi-tenant cloud applications preferred

Skills:
Oral Communication Skills Written Communication Skills Interpersonal Skills
Self-motivated Computer Literacy Internet Savvy
Collaborative Microsoft .NET Analytic
Problem Solving Database Proficiency

Physical Demands:
The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

While performing the duties of this job, the employee is regularly required to stand; walk; sit; use hands; reach with hands and arms and talk or hear. The employee is occasionally required to stoop, kneel, crouch, or crawl. The employee must occasionally lift and/or move up to 50 pounds. Specific vision abilities required by this job include close vision, distance vision, peripheral vision, depth perception and ability to adjust focus.",3.2,"iModules
3.2","Kansas City, MO","Kansas City, MO",51 to 200 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),-1,"iModules
",107,157,132.0, MO,Kansas City,1,18,1,0,0,1,0
6,Software Engineer,$107K-$157K (Glassdoor est.),"Augustine Consulting, Inc. is currently seeking a Software Engineers to join our team of professionals at Fort Belvoir, VA to be part of the Tactical Assault Kit (TAK) Product Center development team. Our company provides the ability for career development and growth, both professionally and technically, and welcomes highly motivated and talented engineers to fill key positions. We work to provide technology advancements and improvements to ensure our Warfighters possess reliable, resilient communications against all adversaries, and systems that work over these communications anytime, anywhere, in all domains, and in all environments. Key facets of this work include developing new functionality and maturing capabilities for the TAK product family including ATAK (Android), Wintak (Windows), TAK Server (Linux).

Duties and Responsibilities:

As an ACI Software Engineer, you will provide the highest level of subject matter expertise in the areas of software architecture, analysis, design, engineering, development, integration, test, troubleshooting, and verification. You will have opportunities to communicate and interface with senior level customers, soldiers, and leadership as you support the program activities.

Qualifications:
Bachelor's degree in computer science/engineering or related field combined with 5 or more years’ experience; Master’s degree a plus.
Experience with one or more of the following development tools/environments is desired: Android SDK, Microsoft Visual Studio, .NET SDK, Apple iOS SDK, Open GL, FFMPEG, Spatial Lite.
Domain experience in geospatial systems (i.e., moving map display), full motion video, geopositioning devices, advanced GPS technology, tactical networking, and/or mission planning solutions desired.
Experience with development tools such as JIRA, GitHUB, Confluence, and Slack.
Experience in Mobile Device computing (Android, iOS).
Must be a U.S. citizen.
Ability to obtain a Secret security clearance required; having a current Security Clearance preferred.
Augustine Consulting, Inc. offers a robust benefits package which includes:
Competitive Salary.
Comprehensive Medical, Dental, and Vision plans with optional Health Savings Account (HSA).
Safe Harbor Retirement savings and company match.
Find out more at www.aciedge.com",4.4,"Augustine Consulting, Inc.
4.4","Fort Belvoir, VA","Monterey, CA",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,"Augustine Consulting, Inc.
",107,157,132.0, VA,Fort Belvoir,0,-1,0,0,0,0,0
7,Software Engineer,$107K-$157K (Glassdoor est.),"Job Description

Required Skills :
java, REST API, and Spring boot
Basic Qualifications :
Additional Skills :
Job Description :

TOP REQUIREMENTS:

1. Experience writing API's using core Java (utilizing frameworks like Spring Boot, etc.)
Experience with REST API design (including micro-services)
Experience with security appliances (e.g. Layer7, Kong, PingFederate, etc.)
** What experience will set candidates apart from one another? Experience writing API's using core Java (utilizing frameworks like Spring Boot, etc.).
Technical Skills
Experience writing API's using core Java (utilizing frameworks like Spring Boot, etc.)
Experience with REST API design (including micro-services)
Experience with security appliances (e.g. Layer7, Kong, PingFederate, etc.)
Experience with various frameworks (e.g. Splunk, ELK, etc.)
Experience deploying to Openshift containers using CI/CD pipelines (e.g. Jenkins, XL Deploy/XL Release, etc.)
Plus: experience with Cassandra, Kafka, Prometheus, Grafana
Plus: experience with test case automation
)",4.2,"Cogent Infotech
4.2","Basking Ridge, NJ","Pittsburgh, PA",201 to 500 employees,2003,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,"Cogent Infotech
",107,157,132.0, NJ,Basking Ridge,0,17,0,0,0,0,0
8,Full Stack Software Engineer,$107K-$157K (Glassdoor est.),"Full Stack Software Engineer, Woodbridge Township
General Information
Job Title:
Full Stack Software Engineer
Location:
10 Woodbridge Center Drive
Suite 510
Woodbridge Township, NJ, 07095
United States
Employee Type:
Reg Full-Time
Job Category:
Corporate
Description
Position Summary:

FreshDirect is trying to change the online food delivery business. Technology is core to this disruption. We are looking for champions for change, awesome code and quality. We are passionate about how application development can transform user experience, provide state-of-the-art technology solutions, and affect real business growth.

Our core technologies are based in Java, JavaScript, and API interfaces. This key position will be involved in the end to end integration of a holistic solution. The Full Stack Web Developer will have an opportunity to develop technical skills in three diverse areas – retail, delivery operations and marketing technology. This is a high visibility position with direct impact on the public facing eCommerce websites https://www.freshdirect.com and https://www.foodkick.com. If you are up to the challenge, we want to work with you.

Work with an agile team of like-minded project managers, business analysts, and developers in making FreshDirect better. Our software engineers must deliver high performing solutions that scale across our enterprise for us to succeed. We are a customer facing live operation and we rely on all engineers able and willing to support daily business operations.

Responsibilities:

· API design and development of RESTful Services

· Solid core Java and J2EE

· Experience with Spring, JPA, JMS and relational databases

· Web fundamentals like HTML, JavaScript/CSS, SEO, Responsive Design and Accessibility

· JavaScript frameworks like AngularJS, React, or Ember etc., or JS-based build tools like Grunt, Gulp, and Bower

· CSS frameworks - Foundation, Bootstrap, Sass/LESS

· Strong problem-solving skills and ability to adapt existing systems to fast-changing requirements

· Strong communication and interpersonal skills.

· High-energy individual who cares deeply about what they are working on

Education and Qualifications:

· Strong experience in E-Commerce and high transaction-processing environment

· Knowledge of Oracle 12c or later, SQL, PL/SQL, database design and query optimization

· Experience with Test Driven Development

· Experience with modern tools for CI and build automation

· Practical Linux/Solaris knowledge and shell scripting

· Java/Tomcat performance tuning

· Experience with PCI compliance and modern security standards

Who is FreshDirect:

FreshDirect is a food tech company and the Northeast's leading online fresh food grocer, delivering directly to customers throughout seven states, including the New York City and Philadelphia metropolitan areas, and the greater D.C. metropolitan area. FreshDirect is committed to sourcing the freshest and best-tasting meat, fish, produce, and specialty items through direct relationships with suppliers, growers, and farmers. In 2016, FreshDirect expanded its portfolio in NYC with the launch of FoodKick, an on-demand business that caters to the needs of urban dwellers with a curated selection of fresh food, alcohol, and essentials—all delivered within an hour. Launched in 2002, FreshDirect is a privately held company headquartered in Bronx, NY. For more information, visit www.freshdirect.com or www.foodkick.com

Our company aspires to be a valued corporate partner in all communities in which it serves and works extensively with dozens of charitable and community partners.

Why choose FreshDirect?

We are an innovative Food Technology company offering an environment where you can grow a career and feed your future and have fun while doing it! Great people deserve great benefits and we go above and beyond!

Wait, there’s more! Check out our #workperks:

Working here is pretty much as cool as you’d imagine - lots of food, lots of energy, and a whole lot of happy hours.

· Flexible and generous PTO plan

· 20% discount on FreshDirect and FoodKick plus an employee at-cost food program (FD Market)

· We have a 24-hour shuttle service that runs back and forth to the subway

· Summer barbecues for FD employees

Click to explore careers and life @ FreshDirect - https://tinyurl.com/Life-FreshDirect

Learn more @FreshDirect on Twitter , Instagram, Facebook and YouTube!

Disclaimer: The above statements are intended to describe the general nature and level of work being performed by the Team member(s) assigned to this position. They are not intended to be an exhaustive list of all responsibilities, duties, and skills required of individuals in this position. Position Descriptions may be subject to change as the needs of the organization change.

As an EQUAL EMPLOYMENT OPPORTUNITY EMPLOYER, FreshDirect does not discriminate against applicants or employees because of their race, color, citizenship status, national origin, ancestry, sex, gender, sexual orientation, age religion, creed, marital status, veteran status, domestic violence victim status, familial status, or on any other basis prohibited by law. Furthermore, FreshDirect will not discriminate against any applicant or employee because he or she is disabled, a disabled veteran, or a veteran of the Vietnam era, provided he or she is qualified and meets the requirements established by FreshDirect for the job.",2.9,"FreshDirect
2.9","Woodbridge, NJ","Bronx, NY",1001 to 5000 employees,1999,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$100 to $500 million (USD),"Peapod, Instacart, Jet","FreshDirect
",107,157,132.0, NJ,Woodbridge,0,21,1,0,0,1,0
9,Backend Engineer,$107K-$157K (Glassdoor est.),"We are looking for experienced Back End Engineers who want to make an impact not only in the office, but in the world around them. We need talented developers to help shape the future of our products. Expect to find great meaning in what you do, enjoy it, and be compensated competitively for your time and talents.
The Company
Cogility Software is a leading data analytics technology provider focused on enhancing human and system performance by providing actionable intelligence in the most challenging and complex environments.
Our Products
Our products include a highly scalable solution that employs the latest in cloud-based technologies, advanced semantic analysis and complex event processing.
Cogility has 2 primary products: Verus and Cogynt.
Verus is the largest voice to text application in Amazon focused on law enforcement.
Cogynt is an event processing system focused on deterministic, behavior analysis in real time.
Applications of the products include insider threat, maritime cargo security, logistics, money laundering, fraud detection, distribution, and law enforcement investigation.
We focus on delivering industry leading technologies at the highest levels of scalability, performance and security.
What you’ll be doing
A Senior Backend Software Engineer at Cogility Software will manage the software development life cycle, from planning and prioritizing to testing and release. They must possess a combination of knowledge that includes: several software languages, experience on the different platforms and operating systems, and solid organizational and communication skills. The ability to understand the architecture of system design, where their contribution fits into the overall project scope allowing them to have a big picture understanding, while focusing on their respective contribution is very important.
The Senior Backend Software Engineer will code, test, debug, and install both new programs/technologies and changes to existing programs/technologies of a complex nature with minimal assistance of higher-level personnel in order to provide quality deliverables as part of product releases. They will also design programs/technologies under the direction of Technical Lead and Product Managers.
What we need
Must have a minimum of 5+ years of work experience in a similar position or product development
Ability to write clean, maintainable code
Strong engineering background
Must have solid proficiency in ReactJS and one backend server framework (preferably Phoenix+Elixir)
We use Phoenix & Elixir on the backend, but proficiency in: Ruby, Python, Clojure, GO or similar backend language(s) will also be considered
Solid design skills and analytical problem-solving skills
Working/ advanced knowledge of data visualization techniques, relational databases, NoSQL databases, application servers, web servers, JSON, XML, and HTTP protocol.
Maintain code integrity and organization
Develop software and interface (API) from specifications conforming to established methodology and standards
Requires a bachelor’s degree in Computer Science or technical certification or equivalent work experience
What we want:
Skill and comfort working in a rapidly changing environment with dynamic objectives and iteration with users
Must be able to meet tight deadlines in a fast-paced environment and handle multiple assignments/ projects at once
Be able to communicate and work with people of all technical levels in a team environment
Be willing to take feedback and incorporate it into your work
Be willing take direction from team lead but must be self-managing and make decisions with minimal supervision
Ability to deal positively with shifting priorities
Additional Requirements:
Must work from our Irvine office location
Be willing to travel to client (on occasion)
Benefits:
Competitive Salary
Generous medical, dental, and vision plans
401k safe harbor match
Vacation, sick, and paid holidays offered
Stand/ sit workstations
Kitchen stocked with snacks and drinks
Work with talented and collaborative co-workers
Casual environment",4.0,"Cogility Software
4.0","Irvine, CA","Irvine, CA",1 to 50 employees,2003,Company - Private,Computer Hardware & Software,Information Technology,Less than $1 million (USD),-1,"Cogility Software
",107,157,132.0, CA,Irvine,1,17,0,1,0,1,0
